Points:0,Points:1,Points:2,Point ID,Block Number
-0.0038154,0.00773686,0,145,4
-0.00359031,0.00728044,0,146,4
-0.00336523,0.00682401,0,147,4
-0.00314015,0.00636759,0,148,4
-0.00291506,0.00591116,0,149,4
-0.00761996,0.0114041,0,150,4
-0.00733723,0.0109809,0,151,4
-0.00705449,0.0105578,0,152,4
-0.00677176,0.0101347,0,153,4
-0.00648903,0.00971151,0,154,4
-0.00620629,0.00928837,0,155,4
-0.00592356,0.00886523,0,156,4
-0.00564082,0.00844209,0,157,4
-0.00535809,0.00801895,0,158,4
-0.00507536,0.00759581,0,159,4
-0.00479262,0.00717266,0,160,4
-0.00450989,0.00674952,0,161,4
-0.00422715,0.00632638,0,162,4
-0.00394442,0.00590324,0,163,4
-0.00366168,0.0054801,0,164,4
-0.0090433,0.0103119,0,165,4
-0.00870776,0.00992929,0,166,4
-0.00837221,0.00954668,0,167,4
-0.00803666,0.00916406,0,168,4
-0.00770112,0.00878144,0,169,4
-0.00736557,0.00839883,0,170,4
-0.00703003,0.00801621,0,171,4
-0.00669448,0.00763359,0,172,4
-0.00635893,0.00725097,0,173,4
-0.00602339,0.00686836,0,174,4
-0.00568784,0.00648574,0,175,4
-0.00535229,0.00610312,0,176,4
-0.00501675,0.0057205,0,177,4
-0.0046812,0.00533789,0,178,4
-0.00434565,0.00495527,0,179,4
-0.0103119,0.0090433,0,180,4
-0.00992929,0.00870776,0,181,4
-0.00954668,0.00837221,0,182,4
-0.00916406,0.00803666,0,183,4
-0.00878144,0.00770112,0,184,4
-0.00839883,0.00736557,0,185,4
-0.00801621,0.00703003,0,186,4
-0.00763359,0.00669448,0,187,4
-0.00725097,0.00635893,0,188,4
-0.00686836,0.00602339,0,189,4
-0.00648574,0.00568784,0,190,4
-0.00610312,0.00535229,0,191,4
-0.0057205,0.00501675,0,192,4
-0.00533789,0.0046812,0,193,4
-0.00495527,0.00434565,0,194,4
-0.0114041,0.00761996,0,195,4
-0.0109809,0.00733723,0,196,4
-0.0105578,0.00705449,0,197,4
-0.0101347,0.00677176,0,198,4
-0.00971151,0.00648903,0,199,4
-0.00928837,0.00620629,0,200,4
-0.00886523,0.00592356,0,201,4
-0.00844209,0.00564082,0,202,4
-0.00801895,0.00535809,0,203,4
-0.00759581,0.00507536,0,204,4
-0.00717266,0.00479262,0,205,4
-0.00674952,0.00450989,0,206,4
-0.00632638,0.00422715,0,207,4
-0.00590324,0.00394442,0,208,4
-0.0054801,0.00366168,0,209,4
-0.0123011,0.00606624,0,210,4
-0.0118447,0.00584116,0,211,4
-0.0113883,0.00561607,0,212,4
-0.0109318,0.00539099,0,213,4
-0.0104754,0.0051659,0,214,4
-0.010019,0.00494082,0,215,4
-0.00956257,0.00471574,0,216,4
-0.00910614,0.00449065,0,217,4
-0.00864972,0.00426557,0,218,4
-0.00819329,0.00404048,0,219,4
-0.00773686,0.0038154,0,220,4
-0.00728044,0.00359031,0,221,4
-0.00682401,0.00336523,0,222,4
-0.00636759,0.00314015,0,223,4
-0.00591116,0.00291506,0,224,4
-0.0129877,0.00440873,0,225,4
-0.0125058,0.00424514,0,226,4
-0.0120239,0.00408156,0,227,4
-0.011542,0.00391798,0,228,4
-0.0110601,0.00375439,0,229,4
-0.0105782,0.00359081,0,230,4
-0.0100963,0.00342723,0,231,4
-0.00961438,0.00326364,0,232,4
-0.00913248,0.00310006,0,233,4
-0.00865058,0.00293648,0,234,4
-0.00816868,0.00277289,0,235,4
-0.00768678,0.00260931,0,236,4
-0.00720488,0.00244573,0,237,4
-0.00672298,0.00228214,0,238,4
-0.00624108,0.00211856,0,239,4
-0.013452,0.00267578,0,240,4
-0.0129529,0.00257649,0,241,4
-0.0124538,0.00247721,0,242,4
-0.0119546,0.00237793,0,243,4
-0.0114555,0.00227864,0,244,4
-0.0109564,0.00217936,0,245,4
-0.0104573,0.00208008,0,246,4
-0.00995812,0.00198079,0,247,4
-0.00945899,0.00188151,0,248,4
-0.00895986,0.00178223,0,249,4
-0.00846073,0.00168294,0,250,4
-0.0079616,0.00158366,0,251,4
-0.00746248,0.00148438,0,252,4
-0.00696335,0.0013851,0,253,4
-0.00646422,0.00128581,0,254,4
-0.0136862,0.000897041,0,255,4
-0.0131784,0.000863757,0,256,4
-0.0126706,0.000830473,0,257,4
-0.0121627,0.000797189,0,258,4
-0.0116549,0.000763905,0,259,4
-0.0111471,0.00073062,0,260,4
-0.0106393,0.000697336,0,261,4
-0.0101315,0.000664052,0,262,4
-0.00962366,0.000630768,0,263,4
-0.00911584,0.000597484,0,264,4
-0.00860802,0.000564199,0,265,4
-0.0081002,0.000530915,0,266,4
-0.00759238,0.000497631,0,267,4
-0.00708457,0.000464347,0,268,4
-0.00657675,0.000431063,0,269,4
-0.0136862,-0.000897041,0,270,4
-0.0131784,-0.000863757,0,271,4
-0.0126706,-0.000830473,0,272,4
-0.0121627,-0.000797189,0,273,4
-0.0116549,-0.000763905,0,274,4
-0.0111471,-0.00073062,0,275,4
-0.0106393,-0.000697336,0,276,4
-0.0101315,-0.000664052,0,277,4
-0.00962366,-0.000630768,0,278,4
-0.00911584,-0.000597484,0,279,4
-0.00860802,-0.000564199,0,280,4
-0.0081002,-0.000530915,0,281,4
-0.00759238,-0.000497631,0,282,4
-0.00708457,-0.000464347,0,283,4
-0.00657675,-0.000431063,0,284,4
-0.013452,-0.00267578,0,285,4
-0.0129529,-0.00257649,0,286,4
