Points:0,Points:1,Points:2,Point ID,Block Number
-0.00228801,0.00200653,0,124,5
-0.00193997,0.00170131,0,125,5
-0.00156406,0.00137164,0,126,5
-0.00115805,0.00101558,0,127,5
-0.000719541,0.00063102,0,128,5
-0.000327898,0.000287559,0,129,5
-0.00380504,0.00254245,0,130,5
-0.00352218,0.00235345,0,131,5
-0.00321668,0.00214932,0,132,5
-0.00288672,0.00192884,0,133,5
-0.00253034,0.00169072,0,134,5
-0.00214543,0.00143353,0,135,5
-0.00172971,0.00115576,0,136,5
-0.0012807,0.000855739,0,137,5
-0.000795749,0.000531703,0,138,5
-0.000362626,0.000242299,0,139,5
-0.00410434,0.00202404,0,140,5
-0.00379924,0.00187358,0,141,5
-0.0034697,0.00171107,0,142,5
-0.00311379,0.00153555,0,143,5
-0.00272938,0.00134598,0,144,5
-0.00231419,0.00114123,0,145,5
-0.00186577,0.000920096,0,146,5
-0.00138144,0.000681253,0,147,5
-0.000858343,0.000423288,0,148,5
-0.00039115,0.000192894,0,149,5
-0.00433342,0.001471,0,150,5
-0.00401128,0.00136165,0,151,5
-0.00366336,0.00124354,0,152,5
-0.00328758,0.00111598,0,153,5
-0.00288171,0.00097821,0,154,5
-0.00244336,0.000829408,0,155,5
-0.0019699,0.000668692,0,156,5
-0.00145855,0.00049511,0,157,5
-0.00090625,0.00030763,0,158,5
-0.000412982,0.000140188,0,159,5
-0.00448835,0.000892788,0,160,5
-0.0041547,0.000826421,0,161,5
-0.00379433,0.00075474,0,162,5
-0.00340512,0.00067732,0,163,5
-0.00298474,0.000593702,0,164,5
-0.00253071,0.00050339,0,165,5
-0.00204033,0.000405847,0,166,5
-0.00151069,0.000300496,0,167,5
-0.00093865,0.000186709,0,168,5
-0.000427747,8.50842e-05,0,169,5
-0.00456648,0.000299303,0,170,5
-0.00422702,0.000277054,0,171,5
-0.00386039,0.000253023,0,172,5
-0.0034644,0.000227068,0,173,5
-0.0030367,0.000199036,0,174,5
-0.00257477,0.000168759,0,175,5
-0.00207585,0.000136058,0,176,5
-0.00153699,0.00010074,0,177,5
-0.000954991,6.25934e-05,0,178,5
-0.000435193,2.85241e-05,0,179,5
-0.00456648,-0.000299303,0,180,5
-0.00422702,-0.000277054,0,181,5
-0.00386039,-0.000253023,0,182,5
-0.0034644,-0.000227068,0,183,5
-0.0030367,-0.000199036,0,184,5
-0.00257477,-0.000168759,0,185,5
-0.00207585,-0.000136058,0,186,5
-0.00153699,-0.00010074,0,187,5
-0.000954991,-6.25934e-05,0,188,5
-0.000435193,-2.85241e-05,0,189,5
-0.00448835,-0.000892788,0,190,5
-0.0041547,-0.000826421,0,191,5
-0.00379433,-0.00075474,0,192,5
-0.00340512,-0.00067732,0,193,5
-0.00298474,-0.000593702,0,194,5
-0.00253071,-0.00050339,0,195,5
-0.00204033,-0.000405847,0,196,5
-0.00151069,-0.000300496,0,197,5
-0.00093865,-0.000186709,0,198,5
-0.000427747,-8.50842e-05,0,199,5
-0.00433342,-0.001471,0,200,5
-0.00401128,-0.00136165,0,201,5
-0.00366336,-0.00124354,0,202,5
-0.00328758,-0.00111598,0,203,5
-0.00288171,-0.00097821,0,204,5
-0.00244336,-0.000829408,0,205,5
-0.0019699,-0.000668692,0,206,5
-0.00145855,-0.00049511,0,207,5
-0.00090625,-0.00030763,0,208,5
-0.000412982,-0.000140188,0,209,5
-0.00410434,-0.00202404,0,210,5
