T,Points:0,Points:1,Points:2,Point ID,Block Number
350,-0.00200653,0.00228801,0.015,179,5
350,0.00170131,0.00193997,0.015,180,5
350,0.00143353,0.00214543,0.015,181,5
350,0.00114123,0.00231419,0.015,182,5
350,0.000829408,0.00244336,0.015,183,5
350,0.00050339,0.00253071,0.015,184,5
350,0.000168759,0.00257477,0.015,185,5
350,-0.000168759,0.00257477,0.015,186,5
350,-0.00050339,0.00253071,0.015,187,5
350,-0.000829408,0.00244336,0.015,188,5
350,-0.00114123,0.00231419,0.015,189,5
350,-0.00143353,0.00214543,0.015,190,5
350,-0.00170131,0.00193997,0.015,191,5
350,0.00137164,0.00156406,0.015,192,5
350,0.00115576,0.00172971,0.015,193,5
350,0.000920096,0.00186577,0.015,194,5
350,0.000668692,0.0019699,0.015,195,5
350,0.000405847,0.00204033,0.015,196,5
350,0.000136058,0.00207585,0.015,197,5
350,-0.000136058,0.00207585,0.015,198,5
350,-0.000405847,0.00204033,0.015,199,5
350,-0.000668692,0.0019699,0.015,200,5
350,-0.000920096,0.00186577,0.015,201,5
350,-0.00115576,0.00172971,0.015,202,5
350,-0.00137164,0.00156406,0.015,203,5
350,0.00101558,0.00115805,0.015,204,5
350,0.000855739,0.0012807,0.015,205,5
350,0.000681253,0.00138144,0.015,206,5
350,0.00049511,0.00145855,0.015,207,5
350,0.000300496,0.00151069,0.015,208,5
350,0.00010074,0.00153699,0.015,209,5
350,-0.00010074,0.00153699,0.015,210,5
350,-0.000300496,0.00151069,0.015,211,5
350,-0.00049511,0.00145855,0.015,212,5
350,-0.000681253,0.00138144,0.015,213,5
350,-0.000855739,0.0012807,0.015,214,5
350,-0.00101558,0.00115805,0.015,215,5
350,0.00063102,0.000719541,0.015,216,5
350,0.000531703,0.000795749,0.015,217,5
350,0.000423288,0.000858343,0.015,218,5
350,0.00030763,0.00090625,0.015,219,5
350,0.000186709,0.00093865,0.015,220,5
350,6.25934e-05,0.000954991,0.015,221,5
350,-6.25934e-05,0.000954991,0.015,222,5
350,-0.000186709,0.00093865,0.015,223,5
350,-0.00030763,0.00090625,0.015,224,5
350,-0.000423288,0.000858343,0.015,225,5
350,-0.000531703,0.000795749,0.015,226,5
350,-0.00063102,0.000719541,0.015,227,5
350,0.000287558,0.000327897,0.015,228,5
350,0.000242299,0.000362626,0.015,229,5
350,0.000192894,0.00039115,0.015,230,5
350,0.000140188,0.000412981,0.015,231,5
350,8.50841e-05,0.000427746,0.015,232,5
350,2.8524e-05,0.000435193,0.015,233,5
350,-2.8524e-05,0.000435193,0.015,234,5
350,-8.50841e-05,0.000427746,0.015,235,5
350,-0.000140188,0.000412981,0.015,236,5
350,-0.000192894,0.00039115,0.015,237,5
350,-0.000242299,0.000362626,0.015,238,5
350,-0.000287558,0.000327897,0.015,239,5
336.278,0.00301735,0.00344063,0.025,240,5
336.278,0.00254245,0.00380504,0.025,241,5
336.278,0.00202404,0.00410434,0.025,242,5
336.278,0.001471,0.00433342,0.025,243,5
336.278,0.000892788,0.00448835,0.025,244,5
336.278,0.000299303,0.00456648,0.025,245,5
336.278,-0.000299303,0.00456648,0.025,246,5
336.278,-0.000892788,0.00448835,0.025,247,5
336.278,-0.001471,0.00433342,0.025,248,5
336.278,-0.00202404,0.00410434,0.025,249,5
336.278,-0.00254245,0.00380504,0.025,250,5
336.278,-0.00301735,0.00344063,0.025,251,5
347.819,0.00279305,0.00318486,0.025,252,5
347.819,0.00235345,0.00352218,0.025,253,5
347.819,0.00187358,0.00379924,0.025,254,5
347.819,0.00136165,0.00401128,0.025,255,5
347.819,0.000826421,0.0041547,0.025,256,5
347.819,0.000277054,0.00422702,0.025,257,5
347.819,-0.000277054,0.00422702,0.025,258,5
347.819,-0.000826421,0.0041547,0.025,259,5
347.819,-0.00136165,0.00401128,0.025,260,5
347.819,-0.00187358,0.00379924,0.025,261,5
347.819,-0.00235345,0.00352218,0.025,262,5
347.819,-0.00279305,0.00318486,0.025,263,5
349.85,0.00255079,0.00290862,0.025,264,5
349.85,0.00214932,0.00321668,0.025,265,5
349.85,0.00171107,0.0034697,0.025,266,5
349.85,0.00124354,0.00366336,0.025,267,5
349.85,0.00075474,0.00379433,0.025,268,5
349.85,0.000253023,0.00386039,0.025,269,5
349.85,-0.000253023,0.00386039,0.025,270,5
349.85,-0.00075474,0.00379433,0.025,271,5
349.85,-0.00124354,0.00366336,0.025,272,5
349.85,-0.00171107,0.0034697,0.025,273,5
349.85,-0.00214932,0.00321668,0.025,274,5
349.85,-0.00255079,0.00290862,0.025,275,5
